Salvage Permit ID,Salvage Date,PermitCreatedDate,Salvage Time,Salvage Latitude,Salvage Longitude,Species Name Common,Species Sex,Species Antler Pts,Animal Notes,Permittee City,Permittee State,Permittee Country,Longitude Reported,Latitude Reported,x,y
22-11-29-09-10-15,11/28/2022,"11/29/2022, 9:10 AM",22:20,47.4749020309243,-120.364696236948,Deer,Male,3,,East Wenatchee,WA,United States,-120.3647,47.4749,-13398936.694584142,6019937.622436411
22-11-28-20-59-11,11/28/2022,"11/28/2022, 8:59 PM",20:40,47.306402546788,-121.90604577836,Deer,Male,2,Deer was hit in right hind quarters ,Ravenadale ,WA,USA,-121.90605,47.3064,-13570518.940668536,5992230.962393523
22-11-28-20-29-34,11/28/2022,"11/28/2022, 8:29 PM",20:30,46.7599299853699,-122.010439421903,Deer,Unknown,,,Ashford,Washington,USA,-122.01044,46.75993,-13582139.987909762,5902976.193838161
22-11-27-22-03-16,11/27/2022,"11/27/2022, 10:03 PM",19:00,47.8284333197317,-122.04787433324,Deer,Female,,,Monroe,Washington,United States,-122.04787,47.82843,-13586307.22317771,6078359.565939545
22-11-27-09-00-19,11/26/2022,"11/27/2022, 9:00 AM",09:00,47.5355911982356,-120.518603571482,Deer,Male,2,,Wenatchee,WA,United States,-120.5186,47.53559,-13416069.580693832,6029938.601459489
22-11-27-08-52-18,11/26/2022,"11/27/2022, 8:52 AM",08:53,47.5157416696254,-120.450977581723,Deer,Male,2,,Wenatchee,WA,United States,-120.45098,47.51574,-13408541.489949437,6026666.321312139
22-11-27-08-03-57,11/26/2022,"11/27/2022, 8:03 AM",11:45,47.5979336660047,-119.396211372231,Deer,Female,,,Waterville ,WA,USA,-119.39621,47.59793,-13291125.452602793,6040224.0877783615
22-11-26-19-16-16,11/26/2022,"11/26/2022, 7:16 PM",13:17,47.6533340092997,-122.026223029022,Deer,Female,,Both back legs compound fracture at joint and only held on by skin.,REDMOND,Washington,United States,-122.02622,47.65333,-13583897.011017188,6049374.526344457
22-11-26-13-57-54,11/26/2022,"11/26/2022, 1:57 PM",13:58,47.2978786744167,-122.057541812593,Deer,Male,2,,Auburn,WA,United States,-122.05754,47.29788,-13587383.402056592,5990831.717353331
22-11-25-16-58-02,11/25/2022,"11/25/2022, 4:58 PM",16:58,46.9677895261407,-119.368910472949,Deer,Female,,,Chehalis,WA,USA,-119.36891,46.96779,-13288086.33039657,5936818.087149946
22-11-25-14-18-48,11/25/2022,"11/25/2022, 2:18 PM",13:00,47.5341977285166,-120.535496707303,Deer,Male,2,,Wenatchee ,WA,USA,-120.5355,47.5342,-13417950.115971277,6029708.8415648565
22-11-24-19-44-32,11/24/2022,"11/24/2022, 7:44 PM",19:45,47.3043749911265,-122.207285003833,Deer,Female,,,Lake Tapps,Washington,United States,-122.20729,47.30437,-13604052.737855162,5991898.106457288
22-11-23-10-41-14,11/23/2022,"11/23/2022, 10:41 AM",10:42,47.0928017161926,-119.333591216799,Deer,Female,,"head caught in the fence overnight, dead on discovery in the morning",Moses Lake,WA,USA,-119.33359,47.0928,-13284154.608786777,5957234.851438145
22-11-23-08-34-44,11/23/2022,"11/23/2022, 8:34 AM",07:50,46.8776357472168,-122.302093326412,Deer,Female,,,Eatonville,WA,USA,-122.30209,46.87764,-13614606.752047649,5922123.933101639
22-11-22-18-01-58,11/22/2022,"11/22/2022, 6:01 PM",05:30,47.8552781074672,-121.890258616944,Deer,Male,0,"Young buck, antlers broken off",Sultan,WA,United States,-121.89026,47.85528,-13568761.521898624,6082811.950679698
22-11-22-14-37-08,11/21/2022,"11/22/2022, 2:37 PM",21:00,47.1565282074557,-122.037379442158,Deer,Male,2,Ran over ,Buckley,WA,United States,-122.03738,47.15653,-13585138.937246555,5967660.990286985
22-11-22-11-14-21,11/21/2022,"11/22/2022, 11:14 AM",00:16,47.1141225183967,-120.403255687498,Deer,Male,1,Mule deer,East Wenatchee,WA,USA,-120.40326,47.11412,-13403229.112984598,5960721.706837139
22-11-21-18-35-15,11/21/2022,"11/21/2022, 6:35 PM",16:30,47.1665268003158,-122.191908427549,Deer,Female,,Hit by car broken neck and front left leg.,Buckley,WA,United States,-122.19191,47.16653,-13602341.025213083,5969297.970565887
22-11-21-17-05-09,11/21/2022,"11/21/2022, 5:05 PM",07:45,47.4234024358941,-122.015331157138,Elk,Female,,,Maple Valley,WA,United States,-122.01533,47.4234,-13582684.53338524,6011460.05035062
22-11-19-21-12-03,11/19/2022,"11/19/2022, 9:12 PM",18:00,46.8623865917925,-120.955035711896,Deer,Male,2,,Naches,WA,USA,-120.95504,46.86239,-13464652.984330468,5919640.917365319
22-11-19-16-45-05,11/19/2022,"11/19/2022, 4:45 PM",16:47,46.7755949808171,-120.857244003963,Deer,Male,2,Mule deer.,Naches,WA,USA,-120.85724,46.77559,-13453766.86119961,5905522.074742126
22-11-19-15-05-31,11/19/2022,"11/19/2022, 3:05 PM",03:00,47.5415590490726,-120.565110933567,Deer,Male,4,Harvested westbound SR 2 near MP 106,EAST WENATCHEE,WA,United States,-120.56511,47.54156,-13421246.756559225,6030922.669513813
22-11-19-14-56-02,11/17/2022,"11/19/2022, 2:56 PM",18:00,46.9703289553391,-118.589238329836,Deer,Female,,Mule deer ,Lind,WA,United States,-118.58924,46.97033,-13201293.624439484,5937232.346792834
22-11-19-10-42-47,11/18/2022,"11/19/2022, 10:42 AM",10:45,47.6821799938018,-120.214057993243,Deer,Male,3,,Entiat,WA,USA,-120.21406,47.68218,-13382167.722000925,6054142.842199486
22-11-19-09-41-21,11/18/2022,"11/19/2022, 9:41 AM",16:30,47.1962026716055,-120.94948755338,Deer,Female,,Mule deer doe. Hit by car,Cle Elum,WA,USA,-120.94949,47.1962,-13464035.366149686,5974158.351088591
22-11-19-08-19-15,11/17/2022,"11/19/2022, 8:19 AM",09:45,47.5135221295348,-121.829475634668,Elk,Female,,"Mature adult Cow.  
Not pregnant
No signs of hoof rot. 
Appeared to be  in great health",Issaquah,WA,USA,-121.82948,47.51352,-13561995.19126276,6026300.497538995
22-11-18-09-26-22,11/18/2022,"11/18/2022, 9:26 AM",09:00,47.4088791335983,-122.460649556663,Deer,Male,1,"Unknown antler points. Antlers had been cut off deer when found. Full grown, adult male. Damaged front legs/chest. ",Mckenna ,WA,USA,-122.46065,47.40888,-13632257.150861192,6009070.805917439
22-11-18-09-12-16,11/18/2022,"11/18/2022, 9:12 AM",08:30,47.4083154929977,-122.038171436597,Deer,Male,1,,Maple Valley ,WA,USA,-122.03817,47.40832,-13585227.101664243,6008978.09406415
22-11-17-21-40-56,11/17/2022,"11/17/2022, 9:40 PM",21:41,47.2640168678708,-121.226568090826,Deer,Male,3,,Seabeck,WA,United States,-121.22657,47.26402,-13494879.83048688,5985275.324415748
22-11-17-11-13-37,11/16/2022,"11/17/2022, 11:13 AM",14:15,47.5794559549406,-122.157365397954,Deer,Male,2,Blacktail Deer.  Broken leg on side of I90 and dispatched by Washington State Patrol. The Bellevue Police incident number for it is 22-62514,Monroe,WA,USA,-122.15737,47.57946,-13598495.71274804,6037174.291249171
22-11-17-10-19-40,11/17/2022,"11/17/2022, 10:19 AM",10:21,47.4080085257213,-121.978101094955,Elk,Female,,2 broken legs and internal injuries.,KENT,WA,United States,-121.9781,47.40801,-13578540.101820858,6008927.602190673
22-11-16-21-45-31,11/15/2022,"11/16/2022, 9:45 PM",23:28,47.1327010242353,-119.280098437303,Deer,Male,4,"Pretty mangled ,mostly dog food  but it was about a 4 year old ,healthy ",Moses Lake,WA,United States,-119.2801,47.1327,-13278199.819812097,5963761.219672069
22-11-16-21-45-16,11/15/2022,"11/16/2022, 9:45 PM",21:46,47.5347451724353,-121.836354313068,Elk,Female,,,North bend ,WA,USA,-121.83635,47.53475,-13562760.922239574,6029799.105200079
22-11-16-08-28-14,11/16/2022,"11/16/2022, 8:28 AM",08:29,47.75563524071,-122.236032652663,Deer,Male,1,spike,Monroe,WA,United States,-122.23603,47.75564,-13607252.911484396,6066297.103034094
22-11-16-08-01-22,11/15/2022,"11/16/2022, 8:01 AM",14:30,47.1993382487383,-120.720518098615,Deer,Male,3,A 3X3 buck was struck by a car and died instantly. It was whole and intact. The entire animal was removed from the roadside.,East Wenatchee,WA,USA,-120.72052,47.19934,-13438546.60303802,5974672.061663423
22-11-15-22-13-18,11/15/2022,"11/15/2022, 10:13 PM",06:30,47.3917432628192,-120.622215305691,Deer,Male,3,Buck road kill 2x3,Selah,WA,USA,-120.62222,47.39174,-13427603.586186163,6006252.612058989
22-11-15-18-26-35,11/15/2022,"11/15/2022, 6:26 PM",17:00,47.3734895861036,-120.322263664481,Deer,Male,3,,Wenatchee,WA,USA,-120.32226,47.37349,-13394213.12222398,6003251.589737036
22-11-15-17-10-50,11/14/2022,"11/15/2022, 5:10 PM",19:30,46.9683,-119.96738,Deer,Male,2,HIT BY A SEMI IN THE REAR AND MID SECTION,ARLINGTON,WA,USA,-119.96738,46.9683,-13354707.653403154,5936901.359685356
22-11-15-11-35-41,11/14/2022,"11/15/2022, 11:35 AM",11:45,47.0461921119188,-119.771041869908,Deer,Male,2,One side of the body was hit really hard.,Moses Lake,Washington,USA,-119.77104,47.04619,-13332851.392737988,5949617.062719506
